AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Citywide,2511.18,649.83,211.38,06-26-2020,9,210908.0,54578.0,17753.0
0-17,343.68,31.67,0.69,06-27-2020,9,5935.0,547.0,12.0
18-44,2303.63,257.18,20.74,06-27-2020,9,77625.0,8666.0,699.0
45-64,3721.51,889.81,193.58,06-27-2020,9,76516.0,18295.0,3980.0
65-74,3714.97,1724.6,633.94,06-27-2020,9,25972.0,12057.0,4432.0
75+,4517.39,2752.78,1582.34,06-27-2020,9,24709.0,15057.0,8655.0
Citywide,2515.01,650.38,211.69,06-27-2020,9,211229.0,54624.0,17779.0
0-17,344.83,31.67,0.69,06-28-2020,9,5955.0,547.0,12.0
18-44,2308.46,257.59,20.8,06-28-2020,9,77788.0,8680.0,701.0
45-64,3726.13,890.59,193.72,06-28-2020,9,76611.0,18311.0,3983.0
65-74,3719.11,1727.03,634.23,06-28-2020,9,26001.0,12074.0,4434.0
75+,4523.42,2756.07,1584.9,06-28-2020,9,24742.0,15075.0,8669.0
Citywide,2519.05,651.16,211.94,06-28-2020,9,211569.0,54689.0,17800.0
0-17,346.17,32.08,0.69,06-30-2020,9,5978.0,554.0,12.0
18-44,2314.99,259.52,21.46,06-30-2020,9,78008.0,8745.0,723.0
45-64,3733.42,894.34,201.02,06-30-2020,9,76761.0,18388.0,4133.0
65-74,3726.55,1734.47,657.97,06-30-2020,9,26053.0,12126.0,4600.0
75+,4534.03,2768.87,1649.62,06-30-2020,9,24800.0,15145.0,9023.0
Citywide,2525.04,654.38,220.18,06-30-2020,9,212072.0,54960.0,18492.0
0-17,347.27,32.14,0.69,07-01-2020,10,5997.0,555.0,12.0
18-44,2320.16,259.91,21.43,07-01-2020,10,78182.0,8758.0,722.0
45-64,3737.95,895.31,200.97,07-01-2020,10,76854.0,18408.0,4132.0
65-74,3731.13,1736.33,658.4,07-01-2020,10,26085.0,12139.0,4603.0
75+,4538.05,2771.61,1650.35,07-01-2020,10,24822.0,15160.0,9027.0
Citywide,2529.09,655.12,220.24,07-01-2020,10,212412.0,55022.0,18497.0
0-17,348.89,32.2,0.69,07-02-2020,10,6025.0,556.0,12.0
18-44,2324.64,260.05,21.46,07-02-2020,10,78333.0,8763.0,723.0
45-64,3743.35,895.7,201.36,07-02-2020,10,76965.0,18416.0,4140.0
65-74,3736.85,1736.9,658.83,07-02-2020,10,26125.0,12143.0,4606.0
75+,4543.72,2772.52,1652.18,07-02-2020,10,24853.0,15165.0,9037.0
Citywide,2533.4,655.4,220.5,07-02-2020,10,212774.0,55045.0,18519.0
0-17,350.16,32.25,0.69,07-03-2020,10,6047.0,557.0,12.0
18-44,2331.08,260.65,21.4,07-03-2020,10,78550.0,8783.0,721.0
45-64,3750.06,896.67,201.65,07-03-2020,10,77103.0,18436.0,4146.0
65-74,3741.0,1738.48,659.12,07-03-2020,10,26154.0,12154.0,4608.0
75+,4549.39,2774.9,1654.01,07-03-2020,10,24884.0,15178.0,9047.0
Citywide,2538.62,656.17,220.69,07-03-2020,10,213212.0,55110.0,18535.0
0-17,351.43,32.31,0.69,07-04-2020,10,6069.0,558.0,12.0
18-44,2336.75,260.97,21.46,07-04-2020,10,78741.0,8794.0,723.0
45-64,3754.92,897.21,201.7,07-04-2020,10,77203.0,18447.0,4147.0
65-74,3744.29,1739.62,659.12,07-04-2020,10,26177.0,12162.0,4608.0
75+,4551.76,2776.73,1657.11,07-04-2020,10,24897.0,15188.0,9064.0
Citywide,2542.77,656.66,220.93,07-04-2020,10,213561.0,55151.0,18555.0
0-17,352.48,32.31,0.75,07-05-2020,10,6087.0,558.0,13.0
18-44,2341.23,261.09,21.49,07-05-2020,10,78892.0,8798.0,724.0
45-64,3759.1,897.6,201.94,07-05-2020,10,77289.0,18455.0,4152.0
65-74,3747.72,1740.19,660.55,07-05-2020,10,26201.0,12166.0,4618.0
75+,4554.5,2777.28,1659.13,07-05-2020,10,24912.0,15191.0,9075.0
Citywide,2546.24,656.88,221.26,07-05-2020,10,213852.0,55170.0,18583.0
0-17,353.52,32.31,0.75,07-06-2020,10,6105.0,558.0,13.0
18-44,2344.31,261.12,21.52,07-06-2020,10,78996.0,8799.0,725.0
45-64,3761.78,897.64,202.09,07-06-2020,10,77344.0,18456.0,4155.0
65-74,3750.44,1740.34,660.98,07-06-2020,10,26220.0,12167.0,4621.0
75+,4556.88,2777.28,1660.22,07-06-2020,10,24925.0,15191.0,9081.0
Citywide,2548.73,656.92,221.41,07-06-2020,10,214061.0,55173.0,18596.0
0-17,354.62,32.43,0.75,07-07-2020,10,6124.0,560.0,13.0
18-44,2349.69,261.98,21.46,07-07-2020,10,79177.0,8828.0,723.0
45-64,3765.48,899.05,202.14,07-07-2020,10,77420.0,18485.0,4156.0
65-74,3753.16,1743.05,661.69,07-07-2020,10,26239.0,12186.0,4626.0
75+,4559.26,2780.2,1662.23,07-07-2020,10,24938.0,15207.0,9092.0
Citywide,2552.42,658.05,221.59,07-07-2020,10,214371.0,55268.0,18611.0
0-17,355.2,32.49,0.75,07-08-2020,11,6134.0,561.0,13.0
18-44,2352.8,262.01,21.4,07-08-2020,11,79282.0,8829.0,721.0
45-64,3768.1,899.35,202.28,07-08-2020,11,77474.0,18491.0,4159.0
65-74,3754.73,1743.05,662.12,07-08-2020,11,26250.0,12186.0,4629.0
75+,4562.73,2780.93,1662.78,07-08-2020,11,24957.0,15211.0,9095.0
Citywide,2554.79,658.19,221.68,07-08-2020,11,214570.0,55280.0,18618.0
0-17,356.76,32.6,0.75,07-09-2020,11,6161.0,563.0,13.0
18-44,2358.59,262.72,21.43,07-09-2020,11,79477.0,8853.0,722.0
45-64,3773.36,900.61,202.38,07-09-2020,11,77582.0,18517.0,4161.0
65-74,3758.88,1744.34,662.55,07-09-2020,11,26279.0,12195.0,4632.0
75+,4566.94,2784.41,1665.16,07-09-2020,11,24980.0,15230.0,9108.0
Citywide,2559.33,659.15,221.9,07-09-2020,11,214952.0,55360.0,18637.0
0-17,358.27,32.6,0.75,07-10-2020,11,6187.0,563.0,13.0
18-44,2363.72,262.78,21.4,07-10-2020,11,79650.0,8855.0,721.0
45-64,3777.2,900.95,202.67,07-10-2020,11,77661.0,18524.0,4167.0
65-74,3761.6,1744.77,662.98,07-10-2020,11,26298.0,12198.0,4635.0
75+,4569.86,2784.41,1666.62,07-10-2020,11,24996.0,15230.0,9116.0
Citywide,2563.06,659.29,222.09,07-10-2020,11,215265.0,55372.0,18653.0
0-17,359.37,32.78,0.75,07-11-2020,11,6206.0,566.0,13.0
18-44,2369.06,263.26,21.37,07-11-2020,11,79830.0,8871.0,720.0
45-64,3782.11,901.39,202.67,07-11-2020,11,77762.0,18533.0,4167.0
65-74,3763.89,1744.91,663.69,07-11-2020,11,26314.0,12199.0,4640.0
75+,4572.06,2786.96,1668.45,07-11-2020,11,25008.0,15244.0,9126.0
Citywide,2567.03,659.8,222.26,07-11-2020,11,215598.0,55415.0,18667.0
0-17,360.41,32.95,0.75,07-12-2020,11,6224.0,569.0,13.0
18-44,2374.7,263.56,21.37,07-12-2020,11,80020.0,8881.0,720.0
45-64,3786.44,902.17,202.77,07-12-2020,11,77851.0,18549.0,4169.0
65-74,3766.32,1745.63,663.84,07-12-2020,11,26331.0,12204.0,4641.0
75+,4574.43,2787.33,1668.45,07-12-2020,11,25021.0,15246.0,9126.0
Citywide,2570.91,660.23,222.3,07-12-2020,11,215924.0,55451.0,18670.0
0-17,361.05,33.01,0.75,07-13-2020,11,6235.0,570.0,13.0
18-44,2379.48,263.76,21.43,07-13-2020,11,80181.0,8888.0,722.0
45-64,3789.7,902.7,203.01,07-13-2020,11,77918.0,18560.0,4174.0
65-74,3769.32,1746.34,664.84,07-13-2020,11,26352.0,12209.0,4648.0
75+,4576.99,2789.34,1672.84,07-13-2020,11,25035.0,15257.0,9150.0
Citywide,2574.18,660.65,222.75,07-13-2020,11,216199.0,55486.0,18708.0
0-17,362.15,33.06,0.75,07-14-2020,11,6254.0,571.0,13.0
18-44,2383.63,264.09,21.4,07-14-2020,11,80321.0,8899.0,721.0
45-64,3793.59,903.09,203.21,07-14-2020,11,77998.0,18568.0,4178.0
65-74,3771.75,1746.77,665.12,07-14-2020,11,26369.0,12212.0,4650.0
75+,4579.37,2790.44,1674.12,07-14-2020,11,25048.0,15263.0,9157.0
Citywide,2577.38,660.99,222.89,07-14-2020,11,216468.0,55515.0,18720.0
0-17,364.0,33.01,0.75,07-15-2020,12,6286.0,570.0,13.0
18-44,2389.75,264.18,21.43,07-15-2020,12,80527.0,8902.0,722.0
45-64,3797.43,903.48,203.45,07-15-2020,12,78077.0,18576.0,4183.0
65-74,3775.33,1746.63,665.98,07-15-2020,12,26394.0,12211.0,4656.0
75+,4583.57,2791.35,1674.48,07-15-2020,12,25071.0,15268.0,9159.0
Citywide,2581.74,661.16,223.06,07-15-2020,12,216834.0,55529.0,18734.0
0-17,366.14,33.12,0.75,07-16-2020,12,6323.0,572.0,13.0
18-44,2395.33,264.71,21.4,07-16-2020,12,80715.0,8920.0,721.0
45-64,3803.41,904.16,203.79,07-16-2020,12,78200.0,18590.0,4190.0
65-74,3778.19,1748.2,666.55,07-16-2020,12,26414.0,12222.0,4660.0
75+,4588.51,2794.09,1676.31,07-16-2020,12,25098.0,15283.0,9169.0
Citywide,2586.46,661.87,223.3,07-16-2020,12,217230.0,55589.0,18754.0
0-17,367.19,33.3,0.75,07-17-2020,12,6341.0,575.0,13.0
18-44,2400.49,265.31,21.13,07-17-2020,12,80889.0,8940.0,712.0
45-64,3808.37,904.99,203.93,07-17-2020,12,78302.0,18607.0,4193.0
65-74,3780.48,1748.92,666.84,07-17-2020,12,26430.0,12227.0,4662.0
75+,4592.9,2797.57,1677.77,07-17-2020,12,25122.0,15302.0,9177.0
Citywide,2590.41,662.63,223.34,07-17-2020,12,217562.0,55653.0,18758.0
0-17,368.69,33.35,0.75,07-18-2020,12,6367.0,576.0,13.0
18-44,2405.89,265.51,21.19,07-18-2020,12,81071.0,8947.0,714.0
45-64,3812.46,905.47,204.13,07-18-2020,12,78386.0,18617.0,4197.0
65-74,3783.05,1749.49,666.98,07-18-2020,12,26448.0,12231.0,4663.0
75+,4597.1,2799.58,1678.87,07-18-2020,12,25145.0,15313.0,9183.0
Citywide,2594.37,663.03,223.5,07-18-2020,12,217895.0,55686.0,18771.0
0-17,369.5,33.41,0.75,07-19-2020,12,6381.0,577.0,13.0
18-44,2410.31,265.72,21.19,07-19-2020,12,81220.0,8954.0,714.0
45-64,3815.48,905.82,204.23,07-19-2020,12,78448.0,18624.0,4199.0
65-74,3786.49,1750.06,667.27,07-19-2020,12,26472.0,12235.0,4665.0
75+,4599.84,2799.95,1679.05,07-19-2020,12,25160.0,15315.0,9184.0
Citywide,2597.52,663.28,223.56,07-19-2020,12,218159.0,55707.0,18776.0
0-17,370.49,33.53,0.75,07-20-2020,12,6398.0,579.0,13.0
18-44,2415.63,265.96,21.19,07-20-2020,12,81399.0,8962.0,714.0
45-64,3819.37,906.16,204.28,07-20-2020,12,78528.0,18631.0,4200.0
65-74,3789.92,1750.49,667.56,07-20-2020,12,26496.0,12238.0,4667.0
75+,4603.14,2801.22,1680.52,07-20-2020,12,25178.0,15322.0,9192.0
Citywide,2601.32,663.6,223.69,07-20-2020,12,218478.0,55734.0,18787.0
0-17,372.4,33.59,0.75,07-21-2020,12,6431.0,580.0,13.0
18-44,2424.65,266.43,21.1,07-21-2020,12,81703.0,8978.0,711.0
45-64,3827.49,907.32,204.96,07-21-2020,12,78695.0,18655.0,4214.0
65-74,3792.64,1750.78,666.41,07-21-2020,12,26515.0,12240.0,4659.0
75+,4607.52,2804.52,1682.34,07-21-2020,12,25202.0,15340.0,9202.0
Citywide,2607.89,664.33,223.84,07-21-2020,12,219030.0,55795.0,18800.0
0-17,372.8,33.59,0.75,07-22-2020,13,6438.0,580.0,13.0
18-44,2426.28,266.46,21.13,07-22-2020,13,81758.0,8979.0,712.0
45-64,3828.61,907.37,205.0,07-22-2020,13,78718.0,18656.0,4215.0
65-74,3794.07,1750.78,666.41,07-22-2020,13,26525.0,12240.0,4659.0
75+,4608.07,2804.52,1682.53,07-22-2020,13,25205.0,15340.0,9203.0
Citywide,2609.06,664.35,223.88,07-22-2020,13,219128.0,55797.0,18803.0
0-17,374.02,33.64,0.75,07-23-2020,13,6459.0,581.0,13.0
18-44,2432.75,266.82,21.16,07-23-2020,13,81976.0,8991.0,713.0
45-64,3832.69,907.71,205.44,07-23-2020,13,78802.0,18663.0,4224.0
65-74,3797.36,1751.21,667.84,07-23-2020,13,26548.0,12243.0,4669.0
75+,4611.0,2805.43,1685.45,07-23-2020,13,25221.0,15345.0,9219.0
Citywide,2613.35,664.68,224.31,07-23-2020,13,219489.0,55825.0,18839.0
0-17,375.47,33.76,0.75,07-24-2020,13,6484.0,583.0,13.0
18-44,2435.27,267.53,21.16,07-24-2020,13,82061.0,9015.0,713.0
45-64,3833.67,908.39,205.44,07-24-2020,13,78822.0,18677.0,4224.0
65-74,3799.07,1752.92,667.27,07-24-2020,13,26560.0,12255.0,4665.0
75+,4612.46,2808.36,1685.63,07-24-2020,13,25229.0,15361.0,9220.0
Citywide,2615.16,665.49,224.27,07-24-2020,13,219641.0,55893.0,18836.0
0-17,376.8,33.88,0.75,07-25-2020,13,6507.0,585.0,13.0
18-44,2442.51,267.89,21.16,07-25-2020,13,82305.0,9027.0,713.0
45-64,3842.76,909.07,205.54,07-25-2020,13,79009.0,18691.0,4226.0
65-74,3806.65,1753.78,667.84,07-25-2020,13,26613.0,12261.0,4669.0
75+,4616.66,2809.82,1686.91,07-25-2020,13,25252.0,15369.0,9227.0
Citywide,2621.49,665.99,224.43,07-25-2020,13,220172.0,55935.0,18849.0
0-17,377.38,33.93,0.75,07-26-2020,13,6517.0,586.0,13.0
18-44,2443.76,268.6,21.13,07-26-2020,13,82347.0,9051.0,712.0
45-64,3843.98,909.95,205.78,07-26-2020,13,79034.0,18709.0,4231.0
65-74,3807.8,1755.35,668.41,07-26-2020,13,26621.0,12272.0,4673.0
75+,4618.49,2812.19,1687.83,07-26-2020,13,25262.0,15382.0,9232.0
Citywide,2622.61,666.79,224.58,07-26-2020,13,220266.0,56002.0,18862.0
0-17,378.25,33.99,0.75,07-27-2020,13,6532.0,587.0,13.0
18-44,2446.93,268.69,21.13,07-27-2020,13,82454.0,9054.0,712.0
45-64,3846.99,910.05,205.93,07-27-2020,13,79096.0,18711.0,4234.0
65-74,3810.66,1755.93,668.84,07-27-2020,13,26641.0,12276.0,4676.0
75+,4620.87,2812.93,1688.56,07-27-2020,13,25275.0,15386.0,9236.0
Citywide,2625.19,666.96,224.7,07-27-2020,13,220483.0,56016.0,18872.0
0-17,380.1,33.99,0.75,07-28-2020,13,6564.0,587.0,13.0
18-44,2453.46,268.84,21.13,07-28-2020,13,82674.0,9059.0,712.0
45-64,3852.44,910.73,205.98,07-28-2020,13,79208.0,18725.0,4235.0
65-74,3815.38,1756.21,669.13,07-28-2020,13,26674.0,12278.0,4678.0
75+,4625.99,2813.47,1689.11,07-28-2020,13,25303.0,15389.0,9239.0
Citywide,2630.24,667.24,224.77,07-28-2020,13,220907.0,56040.0,18878.0
0-17,381.49,34.05,0.75,07-29-2020,13,6588.0,588.0,13.0
18-44,2458.48,269.37,21.16,07-29-2020,13,82843.0,9077.0,713.0
45-64,3856.52,911.36,206.07,07-29-2020,13,79292.0,18738.0,4237.0
65-74,3818.67,1758.36,669.41,07-29-2020,13,26697.0,12293.0,4680.0
75+,4628.37,2815.67,1689.84,07-29-2020,13,25316.0,15401.0,9243.0
Citywide,2633.96,667.94,224.88,07-29-2020,13,221220.0,56099.0,18887.0
0-17,382.65,34.16,0.75,07-30-2020,13,6608.0,590.0,13.0
18-44,2463.58,269.79,21.28,07-30-2020,13,83015.0,9091.0,717.0
45-64,3860.56,911.6,206.22,07-30-2020,13,79375.0,18743.0,4240.0
65-74,3822.39,1759.5,669.41,07-30-2020,13,26723.0,12301.0,4680.0
75+,4631.11,2816.4,1690.57,07-30-2020,13,25331.0,15405.0,9247.0
Citywide,2637.7,668.34,225.01,07-30-2020,13,221534.0,56132.0,18898.0
0-17,384.33,34.22,0.75,07-31-2020,13,6637.0,591.0,13.0
18-44,2468.39,270.17,21.28,07-31-2020,13,83177.0,9104.0,717.0
45-64,3863.43,911.99,206.27,07-31-2020,13,79434.0,18751.0,4241.0
65-74,3824.68,1760.36,669.99,07-31-2020,13,26739.0,12307.0,4684.0
75+,4634.95,2817.86,1691.12,07-31-2020,13,25352.0,15413.0,9250.0
Citywide,2641.13,668.77,225.1,07-31-2020,13,221822.0,56168.0,18906.0
0-17,385.54,34.57,0.75,08-01-2020,13,6658.0,597.0,13.0
18-44,2472.9,271.89,21.28,08-01-2020,13,83329.0,9162.0,717.0
45-64,3867.52,913.74,206.27,08-01-2020,13,79518.0,18787.0,4241.0
65-74,3828.25,1764.65,669.99,08-01-2020,13,26764.0,12337.0,4684.0
75+,4637.51,2823.35,1691.85,08-01-2020,13,25366.0,15443.0,9254.0
Citywide,2644.81,670.67,225.15,08-01-2020,13,222131.0,56328.0,18910.0
0-17,386.24,34.57,0.75,08-02-2020,13,6670.0,597.0,13.0
18-44,2476.46,271.95,21.28,08-02-2020,13,83449.0,9164.0,717.0
45-64,3870.05,913.69,206.27,08-02-2020,13,79570.0,18786.0,4241.0
65-74,3830.97,1764.8,670.27,08-02-2020,13,26783.0,12338.0,4686.0
75+,4638.97,2824.08,1692.4,08-02-2020,13,25374.0,15447.0,9257.0
Citywide,2647.18,670.74,225.21,08-02-2020,13,222330.0,56334.0,18915.0
0-17,386.99,34.63,0.75,08-03-2020,13,6683.0,598.0,13.0
18-44,2479.79,272.16,21.34,08-03-2020,13,83561.0,9171.0,719.0
45-64,3872.48,914.18,206.37,08-03-2020,13,79620.0,18796.0,4243.0
65-74,3833.12,1765.65,670.7,08-03-2020,13,26798.0,12344.0,4689.0
75+,4639.33,2825.36,1693.31,08-03-2020,13,25376.0,15454.0,9262.0
Citywide,2649.47,671.11,225.36,08-03-2020,13,222522.0,56365.0,18927.0
0-17,388.09,34.63,0.75,08-04-2020,13,6702.0,598.0,13.0
18-44,2484.83,272.31,21.37,08-04-2020,13,83731.0,9176.0,720.0
45-64,3876.56,914.28,206.46,08-04-2020,13,79704.0,18798.0,4245.0
65-74,3836.41,1766.51,670.85,08-04-2020,13,26821.0,12350.0,4690.0
75+,4643.36,2826.27,1693.68,08-04-2020,13,25398.0,15459.0,9264.0
Citywide,2653.25,671.33,225.43,08-04-2020,13,222840.0,56383.0,18933.0
0-17,390.52,34.74,0.75,08-05-2020,13,6744.0,600.0,13.0
18-44,2490.59,272.46,21.37,08-05-2020,13,83925.0,9181.0,720.0
45-64,3880.26,914.72,206.46,08-05-2020,13,79780.0,18807.0,4245.0
65-74,3839.41,1767.51,670.99,08-05-2020,13,26842.0,12357.0,4691.0
75+,4645.92,2827.73,1694.23,08-05-2020,13,25412.0,15467.0,9267.0
Citywide,2657.37,671.7,225.47,08-05-2020,13,223186.0,56414.0,18937.0
0-17,391.97,34.8,0.69,08-06-2020,13,6769.0,601.0,12.0
18-44,2495.16,272.64,21.37,08-06-2020,13,84079.0,9187.0,720.0
45-64,3884.0,914.91,206.51,08-06-2020,13,79857.0,18811.0,4246.0
65-74,3842.13,1768.08,671.13,08-06-2020,13,26861.0,12361.0,4692.0
75+,4649.39,2828.47,1694.23,08-06-2020,13,25431.0,15471.0,9267.0
Citywide,2660.79,671.92,225.49,08-06-2020,13,223473.0,56433.0,18938.0
0-17,393.94,34.86,0.75,08-07-2020,13,6803.0,602.0,13.0
18-44,2501.66,272.61,21.37,08-07-2020,13,84298.0,9186.0,720.0
45-64,3889.26,915.25,206.61,08-07-2020,13,79965.0,18818.0,4248.0
65-74,3845.42,1768.08,671.27,08-07-2020,13,26884.0,12361.0,4693.0
75+,4653.05,2829.75,1694.59,08-07-2020,13,25451.0,15478.0,9269.0
Citywide,2665.59,672.09,225.56,08-07-2020,13,223876.0,56447.0,18944.0
0-17,394.86,34.98,0.75,08-08-2020,13,6819.0,604.0,13.0
18-44,2505.43,273.11,21.37,08-08-2020,13,84425.0,9203.0,720.0
45-64,3892.76,916.22,206.76,08-08-2020,13,80037.0,18838.0,4251.0
65-74,3846.13,1769.37,671.27,08-08-2020,13,26889.0,12370.0,4693.0
75+,4655.97,2833.58,1694.96,08-08-2020,13,25467.0,15499.0,9271.0
Citywide,2668.46,672.91,225.62,08-08-2020,13,224117.0,56516.0,18949.0
0-17,396.95,35.15,0.75,08-09-2020,13,6855.0,607.0,13.0
18-44,2510.09,273.29,21.4,08-09-2020,13,84582.0,9209.0,721.0
45-64,3896.75,916.95,206.9,08-09-2020,13,80119.0,18853.0,4254.0
65-74,3850.28,1770.09,671.27,08-09-2020,13,26918.0,12375.0,4693.0
75+,4658.53,2835.05,1695.51,08-09-2020,13,25481.0,15507.0,9274.0
Citywide,2672.28,673.35,225.7,08-09-2020,13,224438.0,56553.0,18956.0
0-17,398.45,35.15,0.75,08-10-2020,13,6881.0,607.0,13.0
18-44,2513.56,273.53,21.43,08-10-2020,13,84699.0,9217.0,722.0
45-64,3900.15,917.54,206.95,08-10-2020,13,80189.0,18865.0,4255.0
65-74,3853.14,1770.52,671.42,08-10-2020,13,26938.0,12378.0,4694.0
75+,4661.09,2835.96,1695.69,08-10-2020,13,25495.0,15512.0,9275.0
Citywide,2675.21,673.68,225.75,08-10-2020,13,224684.0,56581.0,18960.0
0-17,399.79,35.21,0.75,08-11-2020,13,6904.0,608.0,13.0
18-44,2517.03,273.59,21.43,08-11-2020,13,84816.0,9219.0,722.0
45-64,3903.02,917.83,206.95,08-11-2020,13,80248.0,18871.0,4255.0
65-74,3855.86,1771.09,671.56,08-11-2020,13,26957.0,12382.0,4695.0
75+,4664.38,2836.88,1696.6,08-11-2020,13,25513.0,15517.0,9280.0
Citywide,2678.02,673.9,225.82,08-11-2020,13,224920.0,56599.0,18966.0
0-17,401.18,35.21,0.75,08-12-2020,13,6928.0,608.0,13.0
18-44,2522.88,273.76,21.43,08-12-2020,13,85013.0,9225.0,722.0
45-64,3907.84,918.02,206.95,08-12-2020,13,80347.0,18875.0,4255.0
65-74,3859.86,1771.52,671.85,08-12-2020,13,26985.0,12385.0,4697.0
75+,4667.31,2837.97,1696.97,08-12-2020,13,25529.0,15523.0,9282.0
Citywide,2682.35,674.12,225.87,08-12-2020,13,225284.0,56618.0,18970.0
0-17,404.07,35.38,0.75,08-13-2020,13,6978.0,611.0,13.0
18-44,2529.17,274.39,21.43,08-13-2020,13,85225.0,9246.0,722.0
45-64,3913.58,918.51,207.0,08-13-2020,13,80465.0,18885.0,4256.0
65-74,3865.3,1772.81,672.13,08-13-2020,13,27023.0,12394.0,4699.0
75+,4669.32,2839.62,1698.07,08-13-2020,13,25540.0,15532.0,9288.0
Citywide,2687.46,674.74,225.97,08-13-2020,13,225713.0,56670.0,18979.0
0-17,405.69,35.32,0.69,08-14-2020,13,7006.0,610.0,12.0
18-44,2533.89,274.57,21.46,08-14-2020,13,85384.0,9252.0,723.0
45-64,3917.86,919.0,207.19,08-14-2020,13,80553.0,18895.0,4260.0
65-74,3869.88,1772.95,672.42,08-14-2020,13,27055.0,12395.0,4701.0
75+,4673.16,2840.35,1698.43,08-14-2020,13,25561.0,15536.0,9290.0
Citywide,2691.39,674.98,226.07,08-14-2020,13,226043.0,56690.0,18987.0
0-17,408.53,35.55,0.69,08-15-2020,13,7055.0,614.0,12.0
18-44,2538.43,274.74,21.46,08-15-2020,13,85537.0,9258.0,723.0
45-64,3921.6,919.63,207.24,08-15-2020,13,80630.0,18908.0,4261.0
65-74,3874.02,1773.81,672.42,08-15-2020,13,27084.0,12401.0,4701.0
75+,4676.08,2841.08,1698.62,08-15-2020,13,25577.0,15540.0,9291.0
Citywide,2695.25,675.37,226.09,08-15-2020,13,226367.0,56723.0,18989.0
0-17,410.38,35.55,0.69,08-16-2020,13,7087.0,614.0,12.0
18-44,2543.59,275.01,21.49,08-16-2020,13,85711.0,9267.0,724.0
45-64,3927.68,920.26,207.24,08-16-2020,13,80755.0,18921.0,4261.0
65-74,3880.6,1775.09,672.56,08-16-2020,13,27130.0,12410.0,4702.0
75+,4679.19,2842.73,1699.16,08-16-2020,13,25594.0,15549.0,9294.0
Citywide,2699.88,675.85,226.15,08-16-2020,13,226756.0,56763.0,18994.0
0-17,411.6,35.55,0.69,08-17-2020,13,7108.0,614.0,12.0
18-44,2547.0,275.01,21.52,08-17-2020,13,85826.0,9267.0,725.0
45-64,3930.45,920.31,207.34,08-17-2020,13,80812.0,18922.0,4263.0
65-74,3882.89,1775.38,672.56,08-17-2020,13,27146.0,12412.0,4702.0
75+,4681.2,2842.73,1699.35,08-17-2020,13,25605.0,15549.0,9295.0
Citywide,2702.51,675.89,226.2,08-17-2020,13,226977.0,56766.0,18998.0
0-17,413.11,35.61,0.69,08-18-2020,13,7134.0,615.0,12.0
18-44,2549.67,275.13,21.52,08-18-2020,13,85916.0,9271.0,725.0
45-64,3932.4,920.99,207.34,08-18-2020,13,80852.0,18936.0,4263.0
65-74,3885.9,1776.38,672.42,08-18-2020,13,27167.0,12419.0,4701.0
75+,4682.3,2844.19,1699.71,08-18-2020,13,25611.0,15557.0,9297.0
Citywide,2704.67,676.29,226.21,08-18-2020,13,227158.0,56800.0,18999.0
0-17,414.73,35.79,0.69,08-19-2020,13,7162.0,618.0,12.0
18-44,2553.38,275.46,21.55,08-19-2020,13,86041.0,9282.0,726.0
45-64,3936.39,921.23,207.34,08-19-2020,13,80934.0,18941.0,4263.0
65-74,3888.9,1777.38,672.85,08-19-2020,13,27188.0,12426.0,4704.0
75+,4683.4,2845.1,1700.08,08-19-2020,13,25617.0,15562.0,9299.0
Citywide,2707.77,676.66,226.28,08-19-2020,13,227419.0,56831.0,19005.0
0-17,417.56,35.96,0.69,08-20-2020,13,7211.0,621.0,12.0
18-44,2557.86,275.63,21.55,08-20-2020,13,86192.0,9288.0,726.0
45-64,3939.94,921.53,207.24,08-20-2020,13,81007.0,18947.0,4261.0
65-74,3890.47,1777.81,673.13,08-20-2020,13,27199.0,12429.0,4706.0
75+,4687.23,2844.55,1699.71,08-20-2020,13,25638.0,15559.0,9297.0
Citywide,2711.4,676.84,226.26,08-20-2020,13,227724.0,56846.0,19003.0
0-17,418.49,36.02,0.69,08-21-2020,13,7227.0,622.0,12.0
18-44,2561.37,275.72,21.55,08-21-2020,13,86310.0,9291.0,726.0
45-64,3942.76,921.82,207.39,08-21-2020,13,81065.0,18953.0,4264.0
65-74,3892.05,1778.24,673.28,08-21-2020,13,27210.0,12432.0,4707.0
75+,4687.78,2845.1,1699.71,08-21-2020,13,25641.0,15562.0,9297.0
Citywide,2713.82,677.03,226.31,08-21-2020,13,227927.0,56862.0,19007.0
0-17,419.94,36.08,0.69,08-22-2020,13,7252.0,623.0,12.0
18-44,2564.42,275.9,21.6,08-22-2020,13,86413.0,9297.0,728.0
45-64,3945.68,922.06,207.58,08-22-2020,13,81125.0,18958.0,4268.0
65-74,3893.62,1778.53,673.28,08-22-2020,13,27221.0,12434.0,4707.0
75+,4689.98,2846.2,1699.89,08-22-2020,13,25653.0,15568.0,9298.0
Citywide,2716.4,677.27,226.39,08-22-2020,13,228144.0,56882.0,19014.0
0-17,421.85,36.19,0.69,08-23-2020,13,7285.0,625.0,12.0
18-44,2569.05,276.17,21.57,08-23-2020,13,86569.0,9306.0,727.0
45-64,3949.13,922.79,207.78,08-23-2020,13,81196.0,18973.0,4272.0
